rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
262.02435302734375,1032,1285,3327072,54,158.22,-0.003234904344814519,114.51738789876302,0.055525716145833334,0.9732478260993958,670,0.9755001664161682,0.0003,-16.68581911722819,57.55957794189453,0.005599815,0.2
261.34173583984375,1031,1310,3351648,55,155.85,-0.00344572306300203,110.19164683024088,0.05506184895833333,0.9722840785980225,675,0.976496696472168,0.0003,-16.670376841227213,53.25492858886719,0.0063937176,0.2
265.510009765625,1029,1336,3376224,56,160.48,-0.003457510083292921,105.4705312093099,0.07682291666666667,0.9710449576377869,680,0.9774153232574463,0.0003,-16.6586971282959,52.40478515625,0.009479187,0.2
265.92877197265625,1029,1360,3400800,57,163.73,-0.002897523964444796,110.18851623535156,0.04583333333333333,0.9704890251159668,685,0.9760206937789917,0.0003,-16.644331868489584,54.5050048828125,0.007004933,0.2
260.2573547363281,1028,1385,3425376,58,154.06,-0.0035405307076871394,109.4699483235677,0.04202473958333333,0.97031170129776,690,0.9764840602874756,0.0003,-16.64123102823893,55.19134521484375,0.006165436,0.2
267.6816101074219,1027,1411,3449952,59,159.66,-0.002268909038199733,113.69161224365234,0.03199055989583333,0.9702149033546448,695,0.9762795567512512,0.0003,-16.63883285522461,57.34162521362305,0.0051208655,0.2
265.50689697265625,1026,1436,3474528,60,159.93,-0.00294739567519476,101.31849619547526,0.04431966145833333,0.9705333709716797,700,0.978512167930603,0.0003,-16.6389404296875,49.95805740356445,0.006795077,0.2
272.5331726074219,1025,1462,3499104,61,163.69,-0.003263109185112019,105.21674448649088,0.046370442708333334,0.9704273343086243,705,0.9775408506393433,0.0003,-16.641816329956054,52.21405792236328,0.0060221604,0.2
264.1798095703125,1024,1487,3523680,62,168.79,-0.0022748554280648627,105.35085754394531,0.030623372395833334,0.9697454571723938,710,0.9776633381843567,0.0003,-16.635201009114585,52.20701217651367,0.0042188414,0.2
268.8861389160156,1023,1512,3548256,63,161.67,-0.004570442535138378,112.18781382242838,0.0474853515625,0.9691771864891052,715,0.9766159057617188,0.0003,-16.62714449564616,54.9652099609375,0.0066386587,0.2
270.2945861816406,1022,1537,3572832,64,162.03,-0.003888956729012231,106.25950266520182,0.06131184895833333,0.9680193066596985,720,0.9776676297187805,0.0003,-16.617071278889973,52.85264205932617,0.007453216,0.2
270.86163330078125,1020,1564,3597408,65,164.81,-0.0035514947259798644,107.35002288818359,0.0595458984375,0.9670094847679138,725,0.9772274494171143,0.0003,-16.602136866251627,54.3222770690918,0.007413421,0.2
270.06256103515625,1020,1589,3621984,66,163.01,-0.0023258479312062265,106.45029856363932,0.046492513020833334,0.9664502143859863,730,0.9770808219909668,0.0003,-16.592295710245768,50.48142623901367,0.006910032,0.2
277.95745849609375,1019,1614,3646560,67,165.03,-0.004197640022418151,110.85881195068359,0.0497314453125,0.9660210013389587,735,0.9763737320899963,0.0003,-16.587154897054038,55.163394927978516,0.0067488127,0.2
278.0648498535156,1019,1639,3671136,68,169.88,-0.0016413178333702187,102.08405405680338,0.034383138020833336,0.9658219814300537,740,0.9777556657791138,0.0003,-16.58213094075521,49.729713439941406,0.005641295,0.2
277.8397521972656,1017,1665,3695712,69,164.44,-0.0028972171479836107,104.74701182047527,0.0349853515625,0.9658046364784241,745,0.9773094058036804,0.0003,-16.580885314941405,52.14987564086914,0.0064671137,0.2
277.5958557128906,1016,1691,3720288,70,170.34,-0.0029229684500023724,99.70884195963542,0.0457275390625,0.9655406475067139,750,0.9781783819198608,0.0003,-16.579302469889324,49.58293151855469,0.0073416852,0.2
282.36181640625,1016,1717,3744864,71,175.08,-0.0036041007202584296,103.52581939697265,0.059220377604166666,0.9644675254821777,755,0.9778255224227905,0.0003,-16.57142537434896,52.62925720214844,0.0069189905,0.2
