time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/std,train/explained_variance
2933856,38,148.16,255.5601806640625,1045,892,113.34006856282552,590,-0.0037111549871042373,0.2,0.0003,55.50777816772461,-16.71860542297363,0.007447841,0.055159505208333334,0.9751882553100586,0.9747813940048218
2958432,39,149.33,253.23500061035156,1044,917,109.19137776692709,595,-0.0034627423776934546,0.2,0.0003,55.34991455078125,-16.7077943166097,0.006858725,0.05506184895833333,0.9748054146766663,0.9754243493080139
2983008,40,151.88,262.9131774902344,1046,939,107.62817687988282,600,-0.003035148497050007,0.2,0.0003,52.350006103515625,-16.70333824157715,0.006528694,0.03186848958333333,0.9740872979164124,0.9757283329963684
3007584,41,149.37,256.86907958984375,1047,962,104.50006764729818,605,-0.00230693055006365,0.2,0.0003,53.67774963378906,-16.691600163777668,0.0075746584,0.0514404296875,0.9733372330665588,0.9759604930877686
3032160,42,152.14,258.6739501953125,1047,985,105.29827524820963,610,-0.0036013017874211074,0.2,0.0003,52.926368713378906,-16.684382756551106,0.008776988,0.05840657552083333,0.9728517532348633,0.9764022827148438
3056736,43,152.7,257.4726257324219,1046,1009,103.72179718017578,615,-0.0033947069469528893,0.2,0.0003,51.71842956542969,-16.68129030863444,0.00820737,0.05181477864583333,0.973335325717926,0.9766455888748169
3081312,44,153.07,260.1783142089844,1045,1034,100.8734634399414,620,-0.0034551139804534616,0.2,0.0003,50.634490966796875,-16.691571935017905,0.0073930733,0.06121419270833333,0.9742584824562073,0.9773463010787964
3105888,45,152.02,260.5137634277344,1045,1057,103.88765360514323,625,-0.002723029271389047,0.2,0.0003,52.073944091796875,-16.697160975138345,0.0073184446,0.052229817708333334,0.9739766120910645,0.9765895009040833
3130464,46,151.65,260.3555603027344,1045,1081,106.16977030436198,630,-0.003584810517107447,0.2,0.0003,51.79008865356445,-16.69653231302897,0.0071262103,0.05801595052083333,0.9747303128242493,0.9759672284126282
3155040,47,155.03,263.24383544921875,1046,1103,111.12730611165365,635,-0.0035413815717523296,0.2,0.0003,56.695770263671875,-16.709670639038087,0.007923443,0.06433919270833334,0.9757723212242126,0.9750176072120667
3179616,48,160.78,266.2139587402344,1047,1125,106.63655853271484,640,-0.0035950859853376943,0.2,0.0003,53.14002227783203,-16.715783818562826,0.007326323,0.06238606770833333,0.9755457043647766,0.976093053817749
3204192,49,158.61,265.5243225097656,1048,1148,107.68096974690755,645,-0.0037707491273370882,0.2,0.0003,52.46638870239258,-16.70657730102539,0.0067813112,0.058211263020833334,0.9745246767997742,0.9754939675331116
3228768,50,158.52,262.3682861328125,1048,1171,100.86633758544922,650,-0.0035931766343613464,0.2,0.0003,49.2155647277832,-16.694489669799804,0.0068716123,0.05370279947916667,0.9737410545349121,0.9773791432380676
3253344,51,157.46,261.2881164550781,1050,1193,107.84560801188151,655,-0.003937085481205334,0.2,0.0003,52.57881164550781,-16.68220329284668,0.008817657,0.0761474609375,0.9725552201271057,0.9758668541908264
3277920,52,162.56,267.9242858886719,1051,1215,106.08022562662761,660,-0.004013097414281219,0.2,0.0003,52.376155853271484,-16.672864151000976,0.007873769,0.072998046875,0.9725210070610046,0.9760355353355408
3302496,53,157.66,271.41094970703125,1051,1238,106.6838882446289,665,-0.0026631631422787904,0.2,0.0003,53.477012634277344,-16.676789474487304,0.0050289314,0.03290201822916667,0.972856342792511,0.975842297077179
3327072,54,163.02,270.7218322753906,1052,1261,99.0008321126302,670,-0.0038133428276826936,0.2,0.0003,46.02080154418945,-16.677215321858725,0.008892071,0.07327473958333333,0.9726422429084778,0.9774347543716431
3351648,55,159.61,269.0157775878906,1052,1284,100.5356440226237,675,-0.0028719989505286017,0.2,0.0003,50.47336196899414,-16.673739751180012,0.0062030633,0.04873046875,0.9725732803344727,0.9770257472991943
3376224,56,161.94,274.1868896484375,1052,1307,102.31674296061198,680,-0.003975983383134008,0.2,0.0003,51.31871032714844,-16.67495778401693,0.009065226,0.07753092447916667,0.9728654026985168,0.9770413637161255
3400800,57,164.44,272.2396240234375,1052,1331,103.6491200764974,685,-0.002948323815750579,0.2,0.0003,49.60249328613281,-16.675235112508137,0.0071807257,0.041788736979166664,0.9724939465522766,0.976479172706604
3425376,58,159.93,270.0127868652344,1051,1355,101.76030120849609,690,-0.0022971815119187037,0.2,0.0003,51.08548355102539,-16.667628733317056,0.006521649,0.0399169921875,0.971839427947998,0.9770128726959229
3449952,59,165.2,275.3349914550781,1050,1379,99.25039520263672,695,-0.004013025209618112,0.2,0.0003,49.68098068237305,-16.658868281046548,0.007813423,0.0720458984375,0.9710132479667664,0.977750301361084
3474528,60,165.4,271.66107177734375,1050,1403,100.99098663330078,700,-0.0037282321136444807,0.2,0.0003,50.56699752807617,-16.64775848388672,0.0077656507,0.0521728515625,0.9701129794120789,0.9766994714736938
3499104,61,166.36,274.10919189453125,1050,1426,107.62656911214192,705,-0.0029793040826916694,0.2,0.0003,53.50614547729492,-16.638308334350587,0.006127411,0.0378173828125,0.9697916507720947,0.9760727882385254
3523680,62,168.86,277.0916748046875,1050,1450,108.23790130615234,710,-0.0036550546647049487,0.2,0.0003,52.6502799987793,-16.634486770629884,0.0060475394,0.06243489583333333,0.9690439105033875,0.9757148623466492
3548256,63,170.35,281.93511962890625,1050,1474,106.29651336669922,715,-0.00285523581939439,0.2,0.0003,53.33857345581055,-16.62268346150716,0.007441561,0.053206380208333334,0.9682657122612,0.976603090763092
3572832,64,167.69,278.4244384765625,1050,1497,101.97925974527995,720,-0.002284196756469707,0.2,0.0003,49.7529411315918,-16.61391487121582,0.0060085193,0.042252604166666666,0.9675057530403137,0.9767884612083435
3597408,65,166.26,274.60662841796875,1050,1520,100.8400390625,725,-0.004377729383607706,0.2,0.0003,46.704898834228516,-16.602368927001955,0.0077307113,0.0585205078125,0.9666431546211243,0.9767168164253235
3621984,66,170.2,281.552490234375,1050,1544,107.0486073811849,730,-0.001689181928910936,0.2,0.0003,53.67361068725586,-16.593197631835938,0.0072869645,0.04729817708333333,0.966064989566803,0.975838840007782
3646560,67,169.7,280.8624267578125,1050,1566,100.9597905476888,735,-0.003268417463793109,0.2,0.0003,51.25214767456055,-16.58426793416341,0.008122418,0.05679524739583333,0.9651294350624084,0.9775195121765137
3671136,68,174.3,279.4361572265625,1051,1589,99.55654907226562,740,-0.0023916873692845305,0.2,0.0003,49.077659606933594,-16.57211837768555,0.005731804,0.038232421875,0.9642526507377625,0.9775657653808594
3695712,69,171.67,282.9736022949219,1051,1612,104.77703247070312,745,-0.0034916806189964214,0.2,0.0003,50.73622131347656,-16.560750452677407,0.008253825,0.06109212239583333,0.9632003903388977,0.9767795205116272
3720288,70,177.78,289.5050048828125,1052,1635,97.48282572428386,750,-0.0027441632623473803,0.2,0.0003,49.13231658935547,-16.55061887105306,0.00658871,0.0448974609375,0.9627228379249573,0.9778494834899902
3744864,71,177.77,280.8701171875,1053,1656,98.76973927815756,755,-0.0021810873023544747,0.2,0.0003,46.213871002197266,-16.54863103230794,0.005862118,0.03653157552083333,0.9627291560173035,0.9772300124168396
3769440,72,178.51,288.60943603515625,1053,1679,104.98710072835287,760,-0.003319209592882544,0.2,0.0003,51.88409423828125,-16.54553337097168,0.0075744786,0.059326171875,0.9620081782341003,0.9758519530296326
3794016,73,178.85,285.26666259765625,1053,1703,102.52369995117188,765,-0.0037954808523257572,0.2,0.0003,50.21683120727539,-16.532833607991538,0.00572227,0.047932942708333336,0.9608425498008728,0.9767105579376221
3818592,74,183.62,289.92730712890625,1053,1727,111.11420389811198,770,-0.0020544299855828284,0.2,0.0003,56.19252395629883,-16.520425287882485,0.0041773566,0.04058430989583333,0.9600371718406677,0.974795937538147
3843168,75,181.5,290.3905029296875,1052,1750,105.82460378011068,775,-0.0030832210710893073,0.2,0.0003,51.97132873535156,-16.510792922973632,0.0058957427,0.03610026041666667,0.9593090415000916,0.9755651354789734
3867744,76,181.58,286.8635559082031,1053,1773,103.00126139322917,780,-0.002458046015817672,0.2,0.0003,50.070796966552734,-16.50218874613444,0.0046414156,0.029353841145833334,0.9587266445159912,0.9765222668647766
3892320,77,184.25,292.9061584472656,1053,1795,106.58923594156902,785,-0.0030647114928190906,0.2,0.0003,51.785160064697266,-16.495773951212566,0.0056227334,0.030997721354166667,0.9582803845405579,0.9758970737457275
3916896,78,178.48,291.41204833984375,1054,1818,101.48194885253906,790,-0.0024827126025532683,0.2,0.0003,49.84275436401367,-16.488970692952474,0.004593764,0.024690755208333335,0.9576535224914551,0.9771920442581177
3941472,79,186.64,289.2832946777344,1053,1842,101.35162658691407,795,-0.0034825654389957585,0.2,0.0003,50.193580627441406,-16.481170399983725,0.007854769,0.0509033203125,0.9572546482086182,0.97698974609375
3966048,80,172.06,290.9570617675781,1053,1865,118.1060557047526,800,-0.002868899881529311,0.2,0.0003,55.80548095703125,-16.475361124674478,0.0061394474,0.040201822916666664,0.9565874934196472,0.973204493522644
3990624,81,178.82,295.38153076171875,1053,1890,91.08048197428386,805,-0.00351023740756015,0.2,0.0003,44.474891662597656,-16.466917673746746,0.006707683,0.052571614583333336,0.956119954586029,0.979645848274231
4015200,82,179.17,287.671142578125,1052,1914,96.18075917561849,810,-0.002441398954639832,0.2,0.0003,46.32600402832031,-16.460438537597657,0.008240605,0.051310221354166664,0.9554217457771301,0.9783014059066772
