time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/std
2712672,142.59,669,29,245.35044860839844,1064,121.06568247477213,0.2,0.0072614276,-16.937113189697264,-0.0036800127748089534,545,0.0003,62.33660125732422,0.9736730456352234,0.0648193359375,0.9926693439483643
2737248,143.03,692,30,241.25399780273438,1064,118.59246571858723,0.2,0.007784143,-16.91579449971517,-0.003380418010056019,550,0.0003,57.419864654541016,0.9736356735229492,0.05657552083333333,0.9914384484291077
2761824,145.29,717,31,240.8841552734375,1062,119.20609385172526,0.2,0.007018825,-16.90472831726074,-0.0035048314409020045,555,0.0003,58.19755554199219,0.973568856716156,0.052718098958333334,0.9905078411102295
2786400,140.88,742,32,241.34117126464844,1059,123.7693603515625,0.2,0.0076423115,-16.891631189982096,-0.002715311812547346,560,0.0003,61.08851623535156,0.9734371304512024,0.049112955729166664,0.9896286129951477
2810976,144.78,768,33,243.49029541015625,1054,119.1298350016276,0.2,0.008079828,-16.885185623168944,-0.003664017034073671,565,0.0003,59.64875030517578,0.9740692973136902,0.06617838541666667,0.9896036982536316
2835552,144.17,793,34,243.5968780517578,1052,121.3664794921875,0.2,0.00656398,-16.882602183024087,-0.003496311321699371,570,0.0003,59.77425003051758,0.9737706780433655,0.061197916666666664,0.9887295365333557
2860128,144.95,817,35,242.8599395751953,1052,124.62037200927735,0.2,0.0072199595,-16.864927419026692,-0.0034036438446491957,575,0.0003,62.971065521240234,0.9728679656982422,0.057877604166666666,0.9870954155921936
2884704,147.27,841,36,247.30548095703125,1051,128.28984375,0.2,0.0074004396,-16.84285659790039,-0.003427138451176385,580,0.0003,61.037288665771484,0.9719904661178589,0.0462646484375,0.984912633895874
2909280,150.31,865,37,246.0684051513672,1051,121.17588602701822,0.2,0.00707639,-16.823089345296225,-0.003065905155381188,585,0.0003,64.68431854248047,0.9737582206726074,0.06002604166666667,0.9844285845756531
2933856,146.9,887,38,242.04400634765625,1051,121.04388224283854,0.2,0.0073667075,-16.823485946655275,-0.0026817022201915583,590,0.0003,60.41061782836914,0.9743914008140564,0.0591064453125,0.9846665859222412
2958432,146.95,911,39,245.96768188476562,1051,121.99882354736329,0.2,0.003725157,-16.825096384684244,-0.002477564034052193,595,0.0003,60.293983459472656,0.9739241600036621,0.045654296875,0.9847474694252014
2983008,151.46,937,40,243.64724731445312,1048,119.08402099609376,0.2,0.0067147515,-16.822544860839844,-0.003468380526949962,600,0.0003,60.37908935546875,0.9748333692550659,0.047810872395833336,0.9840090870857239
3007584,149.65,960,41,247.71768188476562,1049,131.44925842285156,0.2,0.009322969,-16.811755498250324,-0.003781057622594138,605,0.0003,64.34368896484375,0.9721989035606384,0.07246907552083333,0.9838146567344666
3032160,151.23,981,42,251.72689819335938,1051,122.51393229166666,0.2,0.005749705,-16.814793014526366,-0.0035401318532725175,610,0.0003,59.54521942138672,0.9741074442863464,0.0338623046875,0.9843479990959167
3056736,153.83,1003,43,248.73060607910156,1053,115.63822021484376,0.2,0.007093239,-16.80992291768392,-0.004216847118611137,615,0.0003,56.776309967041016,0.9751237630844116,0.05595703125,0.982666552066803
3081312,150.49,1024,44,251.59396362304688,1055,121.51570638020833,0.2,0.0061300397,-16.780196126302084,-0.003264043782837689,620,0.0003,58.419532775878906,0.9737346768379211,0.043863932291666664,0.9800756573677063
3105888,149.23,1046,45,252.26792907714844,1056,114.92790832519532,0.2,0.0067235865,-16.755631764729817,-0.0029501409114648896,625,0.0003,56.61897659301758,0.9757298231124878,0.050634765625,0.9791771769523621
3130464,155.27,1071,46,253.32643127441406,1055,114.73489023844401,0.2,0.0077094682,-16.748902893066408,-0.003579426921593646,630,0.0003,58.38847351074219,0.9757059216499329,0.0459716796875,0.9789049029350281
3155040,158.47,1094,47,258.05157470703125,1054,116.34059549967448,0.2,0.0064487564,-16.742194493611652,-0.003360434043376396,635,0.0003,58.359619140625,0.9756892919540405,0.05101725260416667,0.97771817445755
3179616,154.17,1118,48,252.82635498046875,1054,112.361062113444,0.2,0.008830816,-16.727923583984374,-0.0036474351460735,640,0.0003,53.895172119140625,0.975997269153595,0.05157063802083333,0.9775422215461731
3204192,154.0,1140,49,256.1011962890625,1055,116.94279632568359,0.2,0.007396545,-16.729792912801106,-0.003389108821284026,645,0.0003,59.043495178222656,0.9743752479553223,0.059309895833333334,0.9771226048469543
3228768,161.12,1162,50,257.72393798828125,1057,110.7272455851237,0.2,0.007285073,-16.72013053894043,-0.003305813747768601,650,0.0003,55.314857482910156,0.976143479347229,0.03841959635416667,0.976387083530426
3253344,159.08,1184,51,252.517578125,1057,114.23833516438802,0.2,0.0059404024,-16.71451644897461,-0.0022113181184977293,655,0.0003,56.56126403808594,0.9755535125732422,0.0398193359375,0.976229190826416
3277920,161.55,1207,52,257.1265869140625,1058,113.56366475423177,0.2,0.0059903865,-16.709781392415366,-0.0033778594651569923,660,0.0003,56.03006362915039,0.976329505443573,0.041422526041666664,0.9755339622497559
3302496,159.71,1229,53,258.4096984863281,1058,119.24544270833333,0.2,0.0079969885,-16.70139439900716,-0.0035814239139047763,665,0.0003,58.682559967041016,0.9750456809997559,0.05435384114583333,0.9751561284065247
3327072,162.56,1253,54,252.70181274414062,1059,110.52958730061849,0.2,0.008541192,-16.70134671529134,-0.004044055791261296,670,0.0003,53.884613037109375,0.9762886166572571,0.06896158854166666,0.9756956100463867
3351648,157.58,1278,55,259.1260070800781,1057,118.88248545328776,0.2,0.007468133,-16.70540771484375,-0.003449408931192011,675,0.0003,58.187225341796875,0.9747598767280579,0.0574951171875,0.9754335880279541
3376224,159.01,1301,56,266.38031005859375,1057,111.08739166259765,0.2,0.007474474,-16.69924062093099,-0.0032823785596216718,680,0.0003,55.729209899902344,0.9764421582221985,0.046923828125,0.9750145077705383
3400800,158.78,1325,57,265.8877258300781,1056,108.10817159016928,0.2,0.006962622,-16.694201532999674,-0.003102833987213671,685,0.0003,55.20079040527344,0.9767135381698608,0.04886067708333333,0.9745295643806458
3425376,161.69,1349,58,263.8271179199219,1056,108.48947347005209,0.2,0.0085731745,-16.684041341145832,-0.0038022645671541492,690,0.0003,51.303897857666016,0.9768074750900269,0.05840657552083333,0.9734546542167664
3449952,162.05,1372,59,263.64617919921875,1056,110.51756184895834,0.2,0.007969598,-16.670954259236655,-0.0031835526150340836,695,0.0003,54.465667724609375,0.9769492745399475,0.04480794270833333,0.9725408554077148
3474528,162.55,1395,60,264.5256042480469,1056,106.71519978841145,0.2,0.0069340155,-16.66185213724772,-0.00307251219637692,700,0.0003,53.640411376953125,0.977893054485321,0.045068359375,0.9721972942352295
3499104,168.31,1418,61,267.963134765625,1057,111.83116302490234,0.2,0.005765809,-16.659091186523437,-0.0031182036657507223,705,0.0003,55.67145919799805,0.9765002727508545,0.047412109375,0.97190260887146
3523680,175.88,1440,62,279.07720947265625,1057,104.939013671875,0.2,0.006068666,-16.654464340209962,-0.0030222700753559668,710,0.0003,51.66341018676758,0.9782668352127075,0.03429361979166667,0.9714007377624512
3548256,167.62,1464,63,267.7201232910156,1057,113.17954813639322,0.2,0.0055075847,-16.648834228515625,-0.0029368212601790828,715,0.0003,57.012454986572266,0.9761965274810791,0.04143880208333333,0.9709777235984802
3572832,172.22,1487,64,272.4580383300781,1057,113.14392649332682,0.2,0.0072985333,-16.64178924560547,-0.0033091799511263766,720,0.0003,54.67530059814453,0.9759646058082581,0.050732421875,0.9702565670013428
3597408,166.79,1513,65,276.5223083496094,1055,113.00204315185547,0.2,0.005828958,-16.633587265014647,-0.0027488270464042825,725,0.0003,55.92970275878906,0.9770066142082214,0.0371337890625,0.9698815941810608
3621984,170.76,1538,66,272.1752014160156,1054,108.2842778523763,0.2,0.005338881,-16.631083043416343,-0.0019989048518861334,730,0.0003,54.57646560668945,0.9771753549575806,0.024739583333333332,0.96980220079422
3646560,169.29,1565,67,273.9970703125,1051,111.15778147379557,0.2,0.0061992207,-16.631459299723307,-0.002816890785470605,735,0.0003,54.05852508544922,0.9766892790794373,0.028426106770833334,0.9699463248252869
3671136,169.96,1589,68,275.6024475097656,1051,104.90676574707031,0.2,0.007228224,-16.63083635965983,-0.0035505397633338967,740,0.0003,51.70699691772461,0.9777847528457642,0.05176595052083333,0.9694972038269043
3695712,172.43,1613,69,277.3390197753906,1051,106.99654693603516,0.2,0.0058030575,-16.622821299235024,-0.0026472727457682293,745,0.0003,52.00090026855469,0.9772302508354187,0.036905924479166664,0.9687184691429138
3720288,172.58,1636,70,279.30255126953125,1050,115.07540944417318,0.2,0.006967761,-16.614380009969075,-0.003271193359978497,750,0.0003,56.77350997924805,0.9755288362503052,0.0354248046875,0.9682261347770691
3744864,174.56,1659,71,280.21710205078125,1051,104.60308583577473,0.2,0.0072978144,-16.60983810424805,-0.0038567918430392942,755,0.0003,52.601558685302734,0.9776418209075928,0.049088541666666666,0.9679393768310547
3769440,176.84,1681,72,285.5914001464844,1052,112.7053451538086,0.2,0.0074450313,-16.60437431335449,-0.0038443052442744376,760,0.0003,54.60224533081055,0.9758066534996033,0.0497802734375,0.9674869179725647
