rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/std,train/value_loss,train/learning_rate
198.83172607421875,1168,134.7,983040,40,841,0.004386393229166666,-17.057505671183268,162.1065673828125,0.2,195,-0.002388659988840421,0.9072244763374329,0.0031353317,1.0027166604995728,338.7779846191406,0.0003
203.5026397705078,1167,132.45,1007616,41,862,0.011238606770833333,-17.06009801228841,163.90383911132812,0.2,200,-0.0023704320968439183,0.9076763987541199,0.004541559,1.0029847621917725,339.4813985188802,0.0003
207.61837768554688,1166,132.76,1032192,42,885,0.0024007161458333335,-17.063997014363608,162.80911254882812,0.2,205,-0.002120705583365634,0.9106739163398743,0.0024616912,1.003347635269165,332.382275390625,0.0003
206.5094757080078,1166,132.19,1056768,43,906,0.006193033854166667,-17.06768455505371,146.8824462890625,0.2,210,-0.002244261431042105,0.9175868034362793,0.003584388,1.0035130977630615,313.79469197591146,0.0003
207.44822692871094,1166,132.05,1081344,44,927,0.016853841145833333,-17.06830291748047,143.95114135742188,0.2,215,-0.002450757722059886,0.9217528700828552,0.0055572656,1.0035098791122437,300.08128051757814,0.0003
209.13681030273438,1168,129.73,1105920,45,946,0.006266276041666667,-17.06947250366211,141.70150756835938,0.2,220,-0.002411168720573187,0.9212561249732971,0.0037186735,1.0037697553634644,297.4275797526042,0.0003
211.97427368164062,1170,129.46,1130496,46,966,0.017521158854166666,-17.072843170166017,141.0856475830078,0.2,225,-0.0019600649015046657,0.9249472618103027,0.005359979,1.00398850440979,291.0364115397135,0.0003
209.06959533691406,1171,130.98,1155072,47,985,0.008854166666666666,-17.072817866007487,134.76339721679688,0.2,230,-0.002170741088533153,0.9265071153640747,0.004047396,1.003656268119812,282.0216593424479,0.0003
203.64224243164062,1173,131.87,1179648,48,1005,0.010042317708333333,-17.06701316833496,131.09634399414062,0.2,235,-0.0023668023835246763,0.927022397518158,0.004318055,1.0031071901321411,276.3809529622396,0.0003
209.89285278320312,1173,130.74,1204224,49,1026,0.006852213541666667,-17.061393610636394,139.2355499267578,0.2,240,-0.0019883893507843214,0.9249376654624939,0.004036837,1.0027798414230347,288.55837198893227,0.0003
209.55120849609375,1173,132.35,1228800,50,1047,0.006730143229166667,-17.055731964111327,126.0130615234375,0.2,245,-0.002166316343937069,0.9351661801338196,0.0038400844,1.0019114017486572,261.50697123209636,0.0003
207.40695190429688,1172,133.89,1253376,51,1068,0.014664713541666667,-17.044401550292967,122.55258178710938,0.2,250,-0.002296001665915052,0.9359259009361267,0.005431657,1.0011285543441772,253.58566385904948,0.0003
