time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/std,train/clip_fraction
1143,1354,132.82,220.40992736816406,1548288,63,310,0.9560800194740295,0.007048233,87.58795928955078,0.2,0.0003,-17.04741973876953,185.06612752278645,-0.0026194877767314515,1.002180576324463,0.03017578125
1142,1376,131.75,219.86431884765625,1572864,64,315,0.9589934349060059,0.0074579604,85.6445083618164,0.2,0.0003,-17.054159545898436,178.45772298177084,-0.0028357896488159897,1.0025663375854492,0.030061848958333335
1142,1398,132.57,219.20166015625,1597440,65,320,0.9587826728820801,0.006238066,81.78511810302734,0.2,0.0003,-17.053644053141277,175.2084187825521,-0.002776466046149532,1.0021686553955078,0.0325927734375
1143,1418,132.97,220.96388244628906,1622016,66,325,0.9607039093971252,0.0044144993,79.57659149169922,0.2,0.0003,-17.045443216959637,166.74617513020834,-0.0024437029069910446,1.0011844635009766,0.036637369791666666
1144,1439,131.56,220.49949645996094,1646592,67,330,0.9622277021408081,0.004342532,79.77305603027344,0.2,0.0003,-17.033574040730795,164.66880594889324,-0.0021344955118062594,1.0002599954605103,0.016748046875
1144,1459,132.29,223.17652893066406,1671168,68,335,0.9616793394088745,0.005124689,77.2270736694336,0.2,0.0003,-17.02371457417806,162.7151326497396,-0.0021557329455390573,0.9996605515480042,0.027425130208333332
1144,1481,131.66,221.30429077148438,1695744,69,340,0.963425874710083,0.0058609415,74.07862854003906,0.2,0.0003,-17.02012062072754,155.84284057617188,-0.0024276990133027237,0.9995712637901306,0.023209635416666666
1142,1505,133.67,225.5488739013672,1720320,70,345,0.9629372954368591,0.005572149,75.08792114257812,0.2,0.0003,-17.020017115275063,156.55608113606772,-0.0023811020034675795,0.9998694062232971,0.023649088541666665
1143,1525,133.11,221.9637908935547,1744896,71,350,0.9659811854362488,0.0063290745,71.3260269165039,0.2,0.0003,-17.02611541748047,148.01214599609375,-0.0023072217125445606,1.000563144683838,0.020524088541666666
1144,1546,131.9,221.81138610839844,1769472,72,355,0.9671725630760193,0.0071339025,68.7148208618164,0.2,0.0003,-17.03101348876953,145.89666748046875,-0.002694120692710082,1.0003856420516968,0.03509114583333333
1144,1567,131.41,225.45777893066406,1794048,73,360,0.9651328921318054,0.0072949617,71.92117309570312,0.2,0.0003,-17.027272415161132,148.63443094889323,-0.0028846820661177237,1.0003644227981567,0.026424153645833334
1144,1588,132.7,224.1794891357422,1818624,74,365,0.9667856693267822,0.005636865,68.53958129882812,0.2,0.0003,-17.02441062927246,142.20673116048178,-0.002483096765354276,0.9993763566017151,0.017268880208333334
1145,1609,129.41,223.98281860351562,1843200,75,370,0.967312216758728,0.0066571347,65.4254379272461,0.2,0.0003,-17.00815633138021,140.28344116210937,-0.0025787559143888453,0.9981948733329773,0.0250732421875
1146,1629,127.98,225.0895538330078,1867776,76,375,0.9680943489074707,0.0070904098,65.01377868652344,0.2,0.0003,-17.000408045450847,135.0811319986979,-0.002733888442162424,0.9982439875602722,0.030810546875
1147,1649,130.48,227.29562377929688,1892352,77,380,0.9690848588943481,0.0057188794,63.224246978759766,0.2,0.0003,-17.00369873046875,130.88638661702473,-0.003218071814626455,0.9985730051994324,0.04776204427083333
1147,1670,132.58,227.01727294921875,1916928,78,385,0.9701457619667053,0.007789865,61.891639709472656,0.2,0.0003,-17.005640284220377,128.15805104573568,-0.002600877064590653,0.9984050393104553,0.027278645833333334
1147,1691,133.01,224.67007446289062,1941504,79,390,0.9714123606681824,0.0056573567,60.52041244506836,0.2,0.0003,-17.001566060384114,124.83343302408854,-0.0024012352960805098,0.9981935620307922,0.023347981770833335
1147,1713,134.31,227.54588317871094,1966080,80,395,0.9690808653831482,0.00555528,62.095767974853516,0.2,0.0003,-17.003931299845377,130.62032521565754,-0.0027199269505217673,0.9991490244865417,0.026114908854166667
1147,1734,134.57,230.5792999267578,1990656,81,400,0.9724048972129822,0.0074040294,58.036373138427734,0.2,0.0003,-17.01609204610189,120.56466674804688,-0.0025779618221955995,0.9999179840087891,0.030517578125
1147,1755,132.15,224.7491455078125,2015232,82,405,0.973514199256897,0.007335607,55.83021545410156,0.2,0.0003,-17.019358571370443,117.28756357828776,-0.0028466903410541513,0.9996280074119568,0.0361328125
