time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/std,train/entropy_loss,train/explained_variance
794,37,199.0604705810547,131.42,1144,909312,173.37408447265625,0.013151041666666667,0.2,-0.0025084106950089336,0.0050084568,180,0.0003,362.6825907389323,1.0088123083114624,-17.12735366821289,0.904803991317749
815,38,199.9119873046875,130.03,1144,933888,172.88719177246094,0.005411783854166667,0.2,-0.0019832856332262358,0.0033466842,185,0.0003,359.5130676269531,1.0094128847122192,-17.1346009572347,0.9021092653274536
837,39,202.0952911376953,129.81,1144,958464,173.84783935546875,0.0052490234375,0.2,-0.0020983439094076554,0.00343146,190,0.0003,352.2886210123698,1.0096434354782104,-17.140342076619465,0.9048810005187988
860,40,207.71444702148438,128.73,1142,983040,165.3629150390625,0.0064046223958333336,0.2,-0.0022714702722926934,0.0036735286,195,0.0003,353.1229309082031,1.0095065832138062,-17.140250396728515,0.9052263498306274
880,41,206.07102966308594,128.12,1143,1007616,158.55422973632812,0.008935546875,0.2,-0.0019796253880485894,0.0042304196,200,0.0003,333.08497111002606,1.0092159509658813,-17.137527211507162,0.9147493243217468
902,42,201.31585693359375,133.55,1144,1032192,154.23875427246094,0.007975260416666666,0.2,-0.002320386306382716,0.004136208,205,0.0003,319.688232421875,1.0090168714523315,-17.134360376993815,0.9153847694396973
923,43,210.62591552734375,129.48,1144,1056768,155.17015075683594,0.0103271484375,0.2,-0.002186589738509307,0.004553374,210,0.0003,323.1715515136719,1.0081028938293457,-17.128731155395506,0.9125353097915649
944,44,203.0889892578125,130.69,1144,1081344,148.40733337402344,0.008333333333333333,0.2,-0.002290472473638753,0.004163612,215,0.0003,305.82513020833335,1.0071799755096436,-17.1164301554362,0.922004759311676
966,45,209.63450622558594,131.63,1144,1105920,146.15228271484375,0.015218098958333334,0.2,-0.002382426072532932,0.0054282136,220,0.0003,310.9059244791667,1.00688636302948,-17.108684412638347,0.9142845273017883
988,46,206.21499633789062,129.03,1143,1130496,141.10597229003906,0.01357421875,0.2,-0.002408017435421546,0.005146718,225,0.0003,295.8266174316406,1.006814956665039,-17.106762822469076,0.9238191843032837
1010,47,206.8882598876953,131.25,1142,1155072,137.93283081054688,0.0143310546875,0.2,-0.0022284511243924497,0.005290574,230,0.0003,289.5942138671875,1.0066988468170166,-17.105870564778645,0.9241001605987549
